"","min","q1st","median","mean","q3rd","max","na.count","layer_name"
"187",0,0,0,4.06316342710016,0,100,2143,"dtm_landform_usgs.ecotapestry.breaks.foothills_p_250m_s0..0cm_2014_v1.0.tif"
"188",0,0,100,59.4808622965244,100,100,2143,"dtm_landform_usgs.ecotapestry.flat.plains_p_250m_s0..0cm_2014_v1.0.tif"
"189",0,0,0,0.00767693111725922,0,100,2143,"dtm_landform_usgs.ecotapestry.high.mountains.deep.canyons_p_250m_s0..0cm_2014_v1.0.tif"
"190",0,0,0,6.88591194560008,0,100,2143,"dtm_landform_usgs.ecotapestry.hills_p_250m_s0..0cm_2014_v1.0.tif"
"191",0,0,0,9.13997702825997,0,100,2143,"dtm_landform_usgs.ecotapestry.low.hills_p_250m_s0..0cm_2014_v1.0.tif"
"192",0,0,0,1.73498643250058,0,100,2143,"dtm_landform_usgs.ecotapestry.low.mountains_p_250m_s0..0cm_2014_v1.0.tif"
"193",0,0,0,18.1255296344304,0,100,2143,"dtm_landform_usgs.ecotapestry.smooth.plains_p_250m_s0..0cm_2014_v1.0.tif"
"194",0,0,0,3.53403390250888,0,100,2143,"dtm_lithology_usgs.ecotapestry.acid.plutonics_p_250m_s0..0cm_2014_v1.0.tif"
"195",0,0,0,1.43727209110746,0,100,2143,"dtm_lithology_usgs.ecotapestry.acid.volcanic_p_250m_s0..0cm_2014_v1.0.tif"
"196",0,0,0,0.201076541955905,0,100,2143,"dtm_lithology_usgs.ecotapestry.basic.plutonics_p_250m_s0..0cm_2014_v1.0.tif"
"197",0,0,0,2.00162987152951,0,100,2143,"dtm_lithology_usgs.ecotapestry.basic.volcanics_p_250m_s0..0cm_2014_v1.0.tif"
"198",0,0,0,16.4240382429276,0,100,2143,"dtm_lithology_usgs.ecotapestry.carbonate.sedimentary.rock_p_250m_s0..0cm_2014_v1.0.tif"
"199",0,0,0,0.125488297109045,0,100,2143,"dtm_lithology_usgs.ecotapestry.evaporite_p_250m_s0..0cm_2014_v1.0.tif"
"200",0,0,0,0,0,0,2143,"dtm_lithology_usgs.ecotapestry.ice.and.glaciers_p_250m_s0..0cm_2014_v1.0.tif"
"201",0,0,0,0.258582661355805,0,100,2143,"dtm_lithology_usgs.ecotapestry.intermediate.plutonics_p_250m_s0..0cm_2014_v1.0.tif"
"202",0,0,0,0.832061226478326,0,100,2143,"dtm_lithology_usgs.ecotapestry.intermediate.volcanics_p_250m_s0..0cm_2014_v1.0.tif"
"203",0,0,0,5.22768006094303,0,100,2143,"dtm_lithology_usgs.ecotapestry.metamorphics_p_250m_s0..0cm_2014_v1.0.tif"
"204",0,0,0,8.10101365017406,0,100,2143,"dtm_lithology_usgs.ecotapestry.mixed.sedimentary.rock_p_250m_s0..0cm_2014_v1.0.tif"
"205",0,0,0,0.368197427047009,0,100,2143,"dtm_lithology_usgs.ecotapestry.pyroclastics_p_250m_s0..0cm_2014_v1.0.tif"
"206",0,0,0,26.4992396885528,100,100,2143,"dtm_lithology_usgs.ecotapestry.siliciclastic.sedimentary_p_250m_s0..0cm_2014_v1.0.tif"
