"","var","m.ranger","m.Xgboost","m.gam","m.ksvm","rmse.ranger","rmse.Xgboost","rmse.gam","rmse.ksvm"
"1","oc.f",0.209869709799204,0.172121430725846,0.241082008143197,0.327821363760264,3.42199891032788,3.62066735996106,3.41996579702405,3.49585543551042
"2","db_od",0.450476887953838,0.344719544646176,0.146897397809765,0.0579061695902215,0.162694749325252,0.166358463621026,0.177701012203477,0.170086495943789
"3","ph_h2o",0.22685702126464,0.268966537324015,0.235576883843692,0.268599557567653,0.584449402558371,0.586459821227368,0.599051011723856,0.588913716865775
"4","clay_tot_psa",0.505208759522832,0.124944091297467,0.00925977171862715,0.360587377461073,11.6010856396124,11.8910888488678,12.2315156174859,11.820655938262
"5","sand_tot_psa",0.445380471101824,0.193304384142407,0.100751397637743,0.260563747118026,16.8733539335308,17.1753840123364,17.7238071140779,17.5003062697514
"6","silt_tot_psa",0.492768663292299,0.0787898744460341,0.115743800604388,0.312697661657278,11.2645774741691,11.5464306250251,11.7846018813892,11.4934088510185
"7","wpg2",0.166068534595496,0.158456509071668,0.184514836944921,0.490960119387915,12.6864837594873,13.0947177453583,13.1345922345924,12.6005945329203
