"","Value","NAME","LC_1","AGG_NAME_1","LC_2","AGG_NAME_2","CLIMATE"
"1",1,"0_0_2","No data","No Data","No data","No Data","Boreal_Dry"
"2",2,"10_0_2","Cropland, rainfed","Cropland","No data","No Data","Boreal_Dry"
"3",3,"11_0_2","Herbaceous cover","Cropland","No data","No Data","Boreal_Dry"
"4",4,"12_0_2","Tree or shrub cover","Cropland","No data","No Data","Boreal_Dry"
"5",5,"20_0_2","Cropland, irrigated or post-flooding","Cropland","No data","No Data","Boreal_Dry"
"6",6,"30_0_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","No data","No Data","Boreal_Dry"
"7",7,"40_0_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"8",8,"50_0_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","No data","No Data","Boreal_Dry"
"9",9,"60_0_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","No data","No Data","Boreal_Dry"
"10",10,"61_0_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","No data","No Data","Boreal_Dry"
"11",11,"62_0_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","No data","No Data","Boreal_Dry"
"12",12,"70_0_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","No data","No Data","Boreal_Dry"
"13",13,"71_0_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","No data","No Data","Boreal_Dry"
"14",14,"72_0_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","No data","No Data","Boreal_Dry"
"15",15,"80_0_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","No data","No Data","Boreal_Dry"
"16",16,"81_0_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","No data","No Data","Boreal_Dry"
"17",17,"82_0_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","No data","No Data","Boreal_Dry"
"18",18,"90_0_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","No data","No Data","Boreal_Dry"
"19",19,"100_0_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","No data","No Data","Boreal_Dry"
"20",20,"110_0_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"21",21,"120_0_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"22",22,"121_0_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"23",23,"122_0_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"24",24,"130_0_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"25",25,"140_0_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"26",26,"150_0_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"27",27,"151_0_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"28",28,"152_0_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"29",29,"153_0_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"30",30,"160_0_2","Tree cover, flooded, fresh or brakish water","Forest","No data","No Data","Boreal_Dry"
"31",31,"170_0_2","Tree cover, flooded, saline water","Wetlands","No data","No Data","Boreal_Dry"
"32",32,"180_0_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","No data","No Data","Boreal_Dry"
"33",33,"190_0_2","Urban areas","Artificial areas","No data","No Data","Boreal_Dry"
"34",34,"200_0_2","Bare areas","Bare land and other areas","No data","No Data","Boreal_Dry"
"35",35,"201_0_2","Consolidated bare areas","Bare land and other areas","No data","No Data","Boreal_Dry"
"36",36,"202_0_2","Unconsolidated bare areas","Bare land and other areas","No data","No Data","Boreal_Dry"
"37",37,"210_0_2","Water bodies","Water bodies","No data","No Data","Boreal_Dry"
"38",38,"220_0_2","Permanent snow and ice","Bare land and other areas","No data","No Data","Boreal_Dry"
"39",39,"0_10_2","No data","No Data","Cropland, rainfed","Cropland","Boreal_Dry"
"40",40,"10_10_2","Cropland, rainfed","Cropland","Cropland, rainfed","Cropland","Boreal_Dry"
"41",41,"11_10_2","Herbaceous cover","Cropland","Cropland, rainfed","Cropland","Boreal_Dry"
"42",42,"12_10_2","Tree or shrub cover","Cropland","Cropland, rainfed","Cropland","Boreal_Dry"
"43",43,"20_10_2","Cropland, irrigated or post-flooding","Cropland","Cropland, rainfed","Cropland","Boreal_Dry"
"44",44,"30_10_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Cropland, rainfed","Cropland","Boreal_Dry"
"45",45,"40_10_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"46",46,"50_10_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"47",47,"60_10_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"48",48,"61_10_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"49",49,"62_10_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"50",50,"70_10_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"51",51,"71_10_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"52",52,"72_10_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"53",53,"80_10_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"54",54,"81_10_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"55",55,"82_10_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"56",56,"90_10_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"57",57,"100_10_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"58",58,"110_10_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"59",59,"120_10_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"60",60,"121_10_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"61",61,"122_10_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"62",62,"130_10_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"63",63,"140_10_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"64",64,"150_10_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"65",65,"151_10_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"66",66,"152_10_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"67",67,"153_10_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"68",68,"160_10_2","Tree cover, flooded, fresh or brakish water","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"69",69,"170_10_2","Tree cover, flooded, saline water","Wetlands","Cropland, rainfed","Cropland","Boreal_Dry"
"70",70,"180_10_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","Cropland, rainfed","Cropland","Boreal_Dry"
"71",71,"190_10_2","Urban areas","Artificial areas","Cropland, rainfed","Cropland","Boreal_Dry"
"72",72,"200_10_2","Bare areas","Bare land and other areas","Cropland, rainfed","Cropland","Boreal_Dry"
"73",73,"201_10_2","Consolidated bare areas","Bare land and other areas","Cropland, rainfed","Cropland","Boreal_Dry"
"74",74,"202_10_2","Unconsolidated bare areas","Bare land and other areas","Cropland, rainfed","Cropland","Boreal_Dry"
"75",75,"210_10_2","Water bodies","Water bodies","Cropland, rainfed","Cropland","Boreal_Dry"
"76",76,"220_10_2","Permanent snow and ice","Bare land and other areas","Cropland, rainfed","Cropland","Boreal_Dry"
"77",77,"0_11_2","No data","No Data","Herbaceous cover","Cropland","Boreal_Dry"
"78",78,"10_11_2","Cropland, rainfed","Cropland","Herbaceous cover","Cropland","Boreal_Dry"
"79",79,"11_11_2","Herbaceous cover","Cropland","Herbaceous cover","Cropland","Boreal_Dry"
"80",80,"12_11_2","Tree or shrub cover","Cropland","Herbaceous cover","Cropland","Boreal_Dry"
"81",81,"20_11_2","Cropland, irrigated or post-flooding","Cropland","Herbaceous cover","Cropland","Boreal_Dry"
"82",82,"30_11_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Herbaceous cover","Cropland","Boreal_Dry"
"83",83,"40_11_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"84",84,"50_11_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"85",85,"60_11_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"86",86,"61_11_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"87",87,"62_11_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"88",88,"70_11_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"89",89,"71_11_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"90",90,"72_11_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"91",91,"80_11_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"92",92,"81_11_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"93",93,"82_11_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"94",94,"90_11_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"95",95,"100_11_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"96",96,"110_11_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"97",97,"120_11_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"98",98,"121_11_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"99",99,"122_11_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"100",100,"130_11_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"101",101,"140_11_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"102",102,"150_11_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"103",103,"151_11_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"104",104,"152_11_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"105",105,"153_11_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"106",106,"160_11_2","Tree cover, flooded, fresh or brakish water","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"107",107,"170_11_2","Tree cover, flooded, saline water","Wetlands","Herbaceous cover","Cropland","Boreal_Dry"
"108",108,"180_11_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","Herbaceous cover","Cropland","Boreal_Dry"
"109",109,"190_11_2","Urban areas","Artificial areas","Herbaceous cover","Cropland","Boreal_Dry"
"110",110,"200_11_2","Bare areas","Bare land and other areas","Herbaceous cover","Cropland","Boreal_Dry"
"111",111,"201_11_2","Consolidated bare areas","Bare land and other areas","Herbaceous cover","Cropland","Boreal_Dry"
"112",112,"202_11_2","Unconsolidated bare areas","Bare land and other areas","Herbaceous cover","Cropland","Boreal_Dry"
"113",113,"210_11_2","Water bodies","Water bodies","Herbaceous cover","Cropland","Boreal_Dry"
"114",114,"220_11_2","Permanent snow and ice","Bare land and other areas","Herbaceous cover","Cropland","Boreal_Dry"
"115",115,"0_12_2","No data","No Data","Tree or shrub cover","Cropland","Boreal_Dry"
"116",116,"10_12_2","Cropland, rainfed","Cropland","Tree or shrub cover","Cropland","Boreal_Dry"
"117",117,"11_12_2","Herbaceous cover","Cropland","Tree or shrub cover","Cropland","Boreal_Dry"
"118",118,"12_12_2","Tree or shrub cover","Cropland","Tree or shrub cover","Cropland","Boreal_Dry"
"119",119,"20_12_2","Cropland, irrigated or post-flooding","Cropland","Tree or shrub cover","Cropland","Boreal_Dry"
"120",120,"30_12_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Tree or shrub cover","Cropland","Boreal_Dry"
"121",121,"40_12_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"122",122,"50_12_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"123",123,"60_12_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"124",124,"61_12_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"125",125,"62_12_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"126",126,"70_12_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"127",127,"71_12_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"128",128,"72_12_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"129",129,"80_12_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"130",130,"81_12_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"131",131,"82_12_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"132",132,"90_12_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"133",133,"100_12_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"134",134,"110_12_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"135",135,"120_12_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"136",136,"121_12_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"137",137,"122_12_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"138",138,"130_12_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"139",139,"140_12_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"140",140,"150_12_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"141",141,"151_12_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"142",142,"152_12_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"143",143,"153_12_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Tree or shrub cover","Cropland","Boreal_Dry"
"144",144,"160_12_2","Tree cover, flooded, fresh or brakish water","Forest","Tree or shrub cover","Cropland","Boreal_Dry"
"145",145,"170_12_2","Tree cover, flooded, saline water","Wetlands","Tree or shrub cover","Cropland","Boreal_Dry"
"146",146,"180_12_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","Tree or shrub cover","Cropland","Boreal_Dry"
"147",147,"190_12_2","Urban areas","Artificial areas","Tree or shrub cover","Cropland","Boreal_Dry"
"148",148,"200_12_2","Bare areas","Bare land and other areas","Tree or shrub cover","Cropland","Boreal_Dry"
"149",149,"201_12_2","Consolidated bare areas","Bare land and other areas","Tree or shrub cover","Cropland","Boreal_Dry"
"150",150,"202_12_2","Unconsolidated bare areas","Bare land and other areas","Tree or shrub cover","Cropland","Boreal_Dry"
"151",151,"210_12_2","Water bodies","Water bodies","Tree or shrub cover","Cropland","Boreal_Dry"
"152",152,"220_12_2","Permanent snow and ice","Bare land and other areas","Tree or shrub cover","Cropland","Boreal_Dry"
"153",153,"0_20_2","No data","No Data","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"154",154,"10_20_2","Cropland, rainfed","Cropland","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"155",155,"11_20_2","Herbaceous cover","Cropland","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"156",156,"12_20_2","Tree or shrub cover","Cropland","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"157",157,"20_20_2","Cropland, irrigated or post-flooding","Cropland","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"158",158,"30_20_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"159",159,"40_20_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"160",160,"50_20_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"161",161,"60_20_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"162",162,"61_20_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"163",163,"62_20_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"164",164,"70_20_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"165",165,"71_20_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"166",166,"72_20_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"167",167,"80_20_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"168",168,"81_20_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"169",169,"82_20_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"170",170,"90_20_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"171",171,"100_20_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"172",172,"110_20_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"173",173,"120_20_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"174",174,"121_20_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"175",175,"122_20_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"176",176,"130_20_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"177",177,"140_20_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"178",178,"150_20_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"179",179,"151_20_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"180",180,"152_20_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"181",181,"153_20_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"182",182,"160_20_2","Tree cover, flooded, fresh or brakish water","Forest","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"183",183,"170_20_2","Tree cover, flooded, saline water","Wetlands","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"184",184,"180_20_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"185",185,"190_20_2","Urban areas","Artificial areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"186",186,"200_20_2","Bare areas","Bare land and other areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"187",187,"201_20_2","Consolidated bare areas","Bare land and other areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"188",188,"202_20_2","Unconsolidated bare areas","Bare land and other areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"189",189,"210_20_2","Water bodies","Water bodies","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"190",190,"220_20_2","Permanent snow and ice","Bare land and other areas","Cropland, irrigated or post-flooding","Cropland","Boreal_Dry"
"191",191,"0_30_2","No data","No Data","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"192",192,"10_30_2","Cropland, rainfed","Cropland","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"193",193,"11_30_2","Herbaceous cover","Cropland","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"194",194,"12_30_2","Tree or shrub cover","Cropland","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"195",195,"20_30_2","Cropland, irrigated or post-flooding","Cropland","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"196",196,"30_30_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"197",197,"40_30_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"198",198,"50_30_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"199",199,"60_30_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"200",200,"61_30_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"201",201,"62_30_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"202",202,"70_30_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"203",203,"71_30_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"204",204,"72_30_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"205",205,"80_30_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
"206",206,"81_30_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Boreal_Dry"
