"","layer_key","labsampnum","project_key","site_key","pedon_key","layer_sequence","layer_type","layer_field_label_1","layer_field_label_2","layer_field_label_3","hzn_top","hzn_bot","hzn_desgn_old","hzn_desgn","hzn_discontinuity","hzn_master","hzn_prime","hzn_vert_subdvn","hzn_desgn_other","non_hzn_desgn","stratified_textures_flag","texture_description","result_source_key","prep_code","db_13b","db_od","COLEws","w6clod","w10cld","w3cld","w15l2","w15bfm","adod","wrd_ws13","aggstb","cec7_cly","w15cly","c_adod","result_source_key","prep_code","c_tot","c_tot_code","n_tot","n_tot_code","s_tot","s_tot_code","oc","oc_code","c_n_ra","fe_dith","fe_dith_code","al_dith","al_dith_code","mn_dith","mn_dith_code","al_fe_ox","optd_ox","optd_ox_code","fe_ox","fe_ox_code","al_ox","al_ox_code","mn_ox","mn_ox_code","si_ox","si_ox_code","c_pyp","c_pyp_code","fe_pyp","fe_pyp_code","al_pyp","al_pyp_code","mn_pyp","mn_pyp_code","result_source_key","prep_code","min_lt2","eom_tot_c","eom_minlt2","c_tot","n_tot","c_n_ra","fib_urb","fib_rb","pyr_col","decomp_state","limnic_type","ph_hist","ph_h2o","db_3brw","db_3rw","db_od","oc","result_source_key","prep_code","ph_cacl2","ph_h2o","ph_kcl","ph_naf","ph_sp","caco3","caco3l20","c_gypl2","gypl20","resist","ph_ox","ph_oxin","result_source_key","prep_code","clay_tot_psa","silt_tot_psa","sand_tot_psa","clay_f","co3_cly","silt_f_psa","silt_c_psa","sand_vf_psa","sand_f_psa","sand_m_psa","sand_c_psa","sand_vc_psa","wf_25","wf_520","wf_2075","wf_0175","wpg2","tex_psda"
"11",114,"40A00172",1,17,17,1,"horizon","8681","","",0,5,"A11","A11","","A","","11","","","","",114,"S",NA,NA,NA,NA,NA,NA,12.3000002,NA,NA,NA,NA,1.16999996,0.720000029,NA,114,"S",NA,"",0.398000002,"6B1a",NA,"",5.21999979,"6A1a",13,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,"S",NA,6.5999999,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,114,"S",17,36.7000008,46.2999992,NA,NA,20.2000008,16.5,11.6999998,18.7000008,8.10000038,6.30000019,1.5,0,0,0,35,0,"l"
"12",115,"40A00173",1,17,17,2,"horizon","8682","","",5,15,"A12","A12","","A","","12","","","","",115,"S",NA,NA,NA,NA,NA,NA,6.4000001,NA,NA,NA,NA,0.800000012,0.449999988,NA,115,"S",NA,"",0.147,"6B1a",NA,"",1.5,"6A1a",10,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,"S",NA,6.30000019,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,115,"S",14.1000004,31.2000008,54.7000008,NA,NA,14.6999998,16.5,15.1000004,22.5,8.30000019,6.19999981,2.5999999,0,0,0,40,0,"fsl"
"13",116,"40A00174",1,17,17,3,"horizon","8683","","",15,25,"A2","E","","E","","","","","","",116,"S",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,0.75,0.400000006,NA,116,"S",NA,"",0.0860000029,"6B1a",NA,"",0.819999993,"6A1a",10,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,"S",NA,6.9000001,NA,NA,NA,0,NA,0,NA,NA,NA,NA,116,"S",10,30.8999996,59.0999985,NA,NA,15.5,15.3999996,13.8000002,23.7000008,10.3000002,8.10000038,3.20000005,0,0,0,45,0,"fsl"
"14",117,"40A00175",1,17,17,4,"horizon","8684","","",25,41,"B2","Bw","","B","","","","","","",117,"S",NA,NA,NA,NA,NA,NA,12.6000004,NA,NA,NA,NA,0.74000001,0.449999988,NA,117,"S",NA,"",0.0700000003,"6B1a",NA,"",0.720000029,"6A1a",10,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,"S",NA,8.10000038,NA,NA,NA,0,NA,0,NA,NA,NA,NA,117,"S",28.2999992,26.7999992,44.9000015,NA,NA,14.1999998,12.6000004,11,18.5,8,5.80000019,1.60000002,0,0,0,34,0,"cl"
"15",118,"40A00176",1,17,17,5,"horizon","8685","","",41,53,"B3Cs","By1","","B","","1","","","","",118,"S",NA,NA,NA,NA,NA,NA,11.8999996,NA,NA,NA,NA,0.639999986,0.409999996,NA,118,"S",NA,"",0.0359999985,"6B1a",NA,"",0.409999996,"6A1a",11,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,"S",NA,8.39999962,NA,NA,NA,3,NA,1,NA,NA,NA,NA,118,"S",29.2000008,27.7999992,43,NA,NA,16.7999992,11,9.69999981,16.1000004,7.5999999,6.4000001,3.20000005,0,0,0,33,0,"cl"
"16",119,"40A00177",1,17,17,6,"horizon","8686","","",53,76,"Cca1","Bk1","","B","","1","","","","",119,"S",NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,0.49000001,0.360000014,NA,119,"S",NA,"",0.0199999996,"6B1a",NA,"",0.300000012,"6A1a",15,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,"S",NA,8.80000019,NA,NA,NA,13,NA,0,NA,NA,NA,NA,119,"S",35.2000008,33.5999985,31.2000008,NA,NA,20.7999992,12.8000002,9.80000019,12.6000004,4.5999999,3.20000005,1,0,0,0,21,0,"cl"
"17",120,"40A00178",1,17,17,7,"horizon","8687","","",76,102,"Cca2","Bk2","","B","","2","","","","",120,"S",NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,0.519999981,0.389999986,NA,120,"S",NA,"",NA,"",NA,"",0.219999999,"6A1a",NA,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,"S",NA,8.80000019,NA,NA,NA,11,NA,0,NA,NA,NA,NA,120,"S",32.2000008,36.7000008,31.1000004,NA,NA,22.2999992,14.3999996,10.3999996,12.1000004,4.4000001,3.20000005,1,0,0,0,21,0,"cl"
"18",121,"40A00179",1,17,17,8,"horizon","8688","","",102,152,"CCs","By2","","B","","2","","","","",121,"S",NA,NA,NA,NA,NA,NA,13.8000002,NA,NA,NA,NA,0.560000002,0.449999988,NA,121,"S",NA,"",NA,"",NA,"",0.25999999,"6A1a",NA,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,"S",NA,8.5,NA,NA,NA,5,NA,5,NA,NA,NA,NA,121,"S",30.6000004,36.7000008,32.7000008,NA,NA,22.3999996,14.3000002,10.3999996,12.3000002,4.80000019,3.70000005,1.5,0,0,0,22,0,"cl"
"19",122,"40A00180",1,18,18,1,"horizon","1","","",0,15,"Ap","Ap","","A","","","","","","",122,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14999998,NA,NA,122,"S",NA,"",0.25999999,"6B1a",NA,"",3.02999997,"6A1a",12,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,"S",NA,NA,NA,NA,6.19999981,0,NA,0,NA,NA,NA,NA,122,"S",18.6000004,35.2999992,46.0999985,NA,NA,18.7999992,16.5,12.8000002,18.2000008,7,5.4000001,2.70000005,1,0,0,33,1,"l"
"20",123,"40A00181",1,18,18,2,"horizon","2","","",15,25,"A2","E","","E","","","","","","",123,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769999981,NA,NA,123,"S",NA,"",0.0900000036,"6B1a",NA,"",0.779999971,"6A1a",9,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,"S",NA,NA,NA,NA,6,0,NA,0,NA,NA,NA,NA,123,"S",17.8999996,25.5,56.5999985,NA,NA,12.8000002,12.6999998,14.6999998,25.6000004,8.30000019,5.5999999,2.4000001,0,0,0,42,0,"fsl"
